sample_id,sample_site_name,sample_site_code,grab_compo_ind,timestamp_sample_collected,timestamp_sample_received,sample_ph_pre_ansis,conductivity_ms_cm,ammonia_mg_l,ophosph_mg_l,Turbidity,AM_CrAss_gc_l,PEG_CrAss_gc_l,SN_CrAss_gc_l,AM_phi6_Rec%,AM_phi6_Rec%_rerun,PEG_phi6_Rec%,PEG_phi6_Rec%_rerun,AM_N1_SARS_gc_l,PEG_N1_SARS_gc_l,AM_FluA_gc_l,PEG_FluA_gc_l,AM_EV_gc_l,PEG_EV_gc_l,AM_EVD68_gc_l,PEG_EVD68_gc_l,AM_NoVGI_gc_l,PEG_NoVGI_gc_l,AM_NoVGII_gc_l,PEG_NoVGII_gc_l,AM_MeV_gc_l,PEG_MeV_gc_l,AM_RoV_gc_l,PEG_RoV_gc_l,AM_RSVA_gc_l,PEG_RSVA_gc_l,AM_RSVB_gc_l,PEG_RSVB_gc_l
18066,HULL STW,UKENNE_YW_TP000095,Composite,2021-11-21T06:00:00Z,2021-11-22T12:00:00Z,7.58,569.1,14.91,2.13,122,1.39E+09,4.44E+07,4.63E+08,NA,,0.00,,0,78945,0,0,6265,65400,0,30664,16467.128,21240.032,52.141243,1452.6107,0,0,0,0,detected,0,0,0
18067,BARNOLDSWICK STW,UKENNW_UU_TP000011,Grab,2021-11-21T08:00:00Z,2021-11-22T12:00:00Z,7.42,567.1,20.22,0.27,36.7,4.66E+08,3.58E+06,1.47E+08,NA,,2.87,,0,97631,0,0,3799,5006,0,5750,0.000,18184.91333,27.337708,902.6702,0,0,0,0,0,0.000,0,0
18068,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Grab,2021-11-21T09:00:00Z,2021-11-22T12:00:00Z,7.31,1055,38.04,3.51,68.7,3.55E+08,3.47E+06,9.75E+07,NA,,1.22,,0,49777,0,0,0,1614,0,2252,0.000,7700.78,0,431.8785,0,0,0,0,detected,0.000,0,0
18069,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Grab,2021-11-21T08:00:00Z,2021-11-22T12:00:00Z,7.82,1270,84.5,6.59,143,3.99E+08,4.38E+07,3.27E+08,NA,,2.14,,0,32060,0,0,56114,294936,35318,118964,56907.973,3266.439333,108.01936,157.22269,0,0,0,0,0,0.000,0,0
18070,TUNBRIDGE WELLS   South STW,,Grab,2021-11-17T10:30:00Z,2021-11-22T12:00:00Z,7.58,669.7,30.12,2.27,232,3.97E+08,1.15E+07,7.43E+08,NA,,0.78,,0,14073,0,0,0,1941,3343,1336,1777.320,4225.474,139.74725,198.08145,0,0,0,0,detected,0.000,0,0
18071,TUNBRIDGE WELLS   South STW,,Grab,2021-11-12T08:00:00Z,2021-11-22T12:00:00Z,7.65,686.8,37.95,2.32,32.2,7.71E+07,3.05E+06,1.28E+08,0.00,,1.36,,0,54555,0,0,0,0,0,0,564.667,0,1075.5862,1896.634,0,0,0,0,detected,0.000,0,0
18072,TUNBRIDGE WELLS   South STW,,Grab,2021-11-21T10:00:00Z,2021-11-22T12:00:00Z,7.54,693.5,24.51,1.54,48.2,1.25E+08,3.79E+06,1.46E+08,0.00,,0.44,,0,27663,0,0,0,0,0,0,232276.533,1970.956467,1268.4524,284.34076,0,0,0,0,detected,0.000,0,0
18073,TUNBRIDGE WELLS   South STW,,Grab,2021-11-14T08:15:00Z,2021-11-22T12:00:00Z,7.78,1132,75.84,5.9,52.4,1.74E+08,2.44E+07,1.18E+08,0.00,,0.32,,0,29828,0,0,0,2674,0,0,803227.440,0,4573.9893,155.22368,0,0,0,0,detected,0.000,0,0
18074,TUNBRIDGE WELLS   South STW,,Grab,2021-11-19T00:00:00Z,2021-11-22T12:00:00Z,7.69,843.1,46.52,2.89,129,1.59E+08,3.50E+07,1.06E+09,0.00,,1.90,,0,17073,0,0,42584,211518,16908,94644,220173.113,1305.8428,2048.6526,70.406494,0,0,0,0,detected,detected,0,0
18075,TUNBRIDGE WELLS   South STW,,Grab,2021-11-15T08:25:00Z,2021-11-22T12:00:00Z,7.53,1605,33.74,0.79,91.7,1.39E+08,6.37E+07,3.73E+08,0.00,,0.41,,0,32852,0,0,0,4069,0,4064,0.000,0,567.62885,548.0885,0,0,0,0,detected,0.000,0,0
